Country,Power_Index_Rank,Power_Index_Score,Total_Population_By_Country,Available_Military_Manpower,Manpower_Fit_For_Military_Service,Manpower_Reaching_Military_Age_Annually,Active_Military_Manpower,Active_Reserve_Military_Manpower,Manpower_Paramilitary,Capital City,Region,Continent,Alliance,Year,Aircraft_Total,Aircraft_Total_Fighters,Aircraft_Total_Attack_Types,Aircraft_Total_Transports,Aircraft_Total_Trainers,Aircraft_Total_Special_Mission,Aircraft_Total_Tanker_Fleet,Aircraft_Helicopters_Total,Aircraft_Helicopters_Attack,Armor_Tanks_Total,Armor_Apc_Total,Armor_Self_Propelled_Guns_Total,Armor_Towed_Artillery_Total,Armor_Mlrs_Total,Naval_Assets,Navy_Force_By_Tonnage,Navy_Aircraft_Carriers,Navy_Helo_Carriers,Navy_Submarines,Navy_Destroyers,Navy_Frigates,Navy_Corvettes,Navy_Patrol_Coastal_Craft,Navy_Mine_Warfare_Craft,Defense_Spending_Budget,External_Debt_By_Country,Purchasing_Power_Parity,Reserves_Of_Foreign_Exchange_And_Gold,Major_Serviceable_Airports_By_Country,Labor_Force_By_Country,Major_Ports_And_Terminals,Railway_Coverage,Roadway_Coverage,Oil_Production_By_Country,Oil_Consumption_By_Country,Proven_Oil_Reserves_By_Country,Natural_Gas_Production_By_Country,Natural_Gas_Consumption_By_Country,Proven_Natural_Gas_Reserves_By_Country,Coal_Production_By_Country,Coal_Consumption_By_Country,Proven_Coal_Reserves_By_Country,Square_Land_Area,Coastline_Coverage,Border_Coverage,Waterway_Coverage,Country_Encoded,Assets_Per_Capita,Defense_Budget_to_GDP_Ratio,Total_Personnel,Personnel_Density,Defense_Budget_Per_Soldier,Power_Index_Rank_Gap,Air_Power_Ratio,Armor_Intensity_Index,Naval_Strength_Per_Coastline,Military_Burden_Index,Total_Military_Assets
Philippines,41,0.6987,118277063,50859137,41751803,2128987,150000,1200000,35000,Manila,Southeast Asia,Asia,Non-NATO,2025,202,0,25,26,23,8,0,122,2,10,11878,12,294,0,113,76313,0,0,0,0,2,1,58,0,4380000000,90200000000,1.138E+12,1.03742E+11,246,49477000,70,77,216387,10000,453000,138500000,2251000000,2251000000,98543000000,14483000,37130000,361000000,300000,36289,0,3219,101,2.75E-06,0.003848858,1350000,0.011413878,29200,40,0.001346667,3.33E-05,0.003113891,37.03169396,325
Malaysia,42,0.7429,34564810,16245461,13480276,553037,113000,51600,100000,Kuala Lumpur,Southeast Asia,Asia,Non-NATO,2025,135,26,12,16,31,6,4,45,0,48,13506,0,196,36,100,67735,0,0,2,0,2,6,71,4,4800000000,2.475E+11,1.152E+12,1.13438E+11,102,17308000,35,1851,144403,582000,717000,3600000000,75456000000,42499000000,1.189E+12,3731000,35050000,226000000,329847,4675,2742,7200,76,8.19E-06,0.004166667,164600,0.004762069,42477.87611,41,0.00119469,0.000145522,0.021390374,138.8695613,283
Iraq,43,0.7738,42083436,17675043,14308368,715418,193000,0,100000,Baghdad,Middle East,Asia,Non-NATO,2025,391,26,36,15,139,17,0,197,39,1025,37288,434,610,572,68,0,0,0,0,0,0,2,26,0,7923000000,45032500000,5.72939E+11,1.12233E+11,71,11812000,6,2272,59623,4437000,918000,1.45019E+11,9860000000,19298000000,3.729E+12,0,0,0,438317,58,3809,5279,56,3.53E-05,0.013828697,193000,0.004586127,41051.81347,42,0.002025907,0.00233849,1.172413793,188.2688476,1484
Switzerland,44,0.7869,8860574,3898653,3163225,97466,101584,49715,5000,Bern,Western Europe,Europe,Non-NATO,2025,146,43,0,16,44,3,0,40,0,205,6996,133,0,0,0,0,0,0,0,0,0,0,0,0,25039000000,2.2E+12,7.33779E+11,8.63892E+11,62,4991000,0,5296,71557,300,193000,0,0,3138000000,0,0,161000,0,41277,0,1770,1292,124,3.96E-05,0.034123353,151299,0.01707553,246485.667,43,0.001437234,0.004966446,,2825.889158,351
Denmark,45,0.8109,5973136,2628180,2126436,77651,20000,12000,51000,Copenhagen,Northern Europe,Europe,NATO,2025,117,31,4,4,41,3,0,34,0,44,3856,19,0,8,50,121180,0,0,0,0,9,0,9,6,7225466250,5.555E+11,4.28385E+11,1.09371E+11,99,3180000,69,2682,74558,63000,152000,441000000,1879000000,2208000000,29534000000,0,1788000,0,43094,7314,140,400,34,3.53E-05,0.016866758,32000,0.00535732,361273.3125,44,0.00585,0.001021024,0.006836205,1209.660428,211
Colombia,46,0.8353,49588357,24298295,19190694,843002,293200,35000,150000,Bogota,South America,South America,Non-NATO,2025,436,16,24,86,72,23,1,257,0,0,3460,6,110,0,233,31090,0,0,4,0,7,2,217,0,10541500000,1.1678E+11,9.78024E+11,59041000000,662,26003000,14,2141,205379,800000,320000,2036000000,11290000000,11451000000,87782000000,58747000,7880000,4554000000,1138910,3208,6672,24725,29,1.35E-05,0.010778365,328200,0.006618489,35953.27422,45,0.00148704,0,0.072630923,212.5801426,669
Chile,47,0.8361,18664652,8959033,7521855,298634,80000,40000,50000,Santiago,South America,South America,Non-NATO,2025,277,45,0,32,92,21,5,87,0,386,8832,48,249,8,130,176065,0,0,4,0,8,0,40,0,5032500000,2.145E+11,5.79201E+11,46377000000,374,9848000,39,7282,77801,11000,405000,150000000,1200000000,6916000000,97976000000,499000,8637000,1181000000,756102,6435,7801,12290,27,4.25E-05,0.008688694,120000,0.006429265,62906.25,46,0.0034625,0.000510513,0.02020202,269.6273148,793
Finland,48,0.8437,5626414,2306830,1912981,56264,24000,870000,53800,Helsinki,Northern Europe,Europe,NATO,2025,163,54,0,11,77,1,0,27,0,200,11704,107,667,76,264,19434,0,0,0,0,0,0,8,18,6779661000,6.6E+11,3.21126E+11,16929000000,98,2880000,37,5918,454000,8000,175000,0,0,1157000000,0,808000,4141000,0,338145,1250,2563,8000,42,0.000111439,0.021112152,894000,0.158893391,282485.875,47,0.006791667,0.000591462,0.2112,1204.970164,627
Peru,49,0.8588,32600249,15648120,12681497,619405,120000,385000,60000,Lima,South America,South America,Non-NATO,2025,256,15,22,38,72,12,0,111,16,240,6560,12,290,49,71,170344,0,0,4,0,7,8,13,0,3420000000,59400000000,5.17644E+11,71394000000,166,18529000,20,1855,18699,118000,210000,858890000,12270000000,7185000000,3.00159E+11,153000,712000,1567000000,1285216,2414,7062,8808,100,1.74E-05,0.006606857,505000,0.015490679,28500,48,0.002133333,0.000186739,0.029411765,104.9071742,567
Venezuela,50,0.8882,31250306,15625153,12812625,625006,109000,8000,220000,Caracas,South America,South America,Non-NATO,2025,229,30,0,49,75,3,1,88,10,172,8802,48,100,36,34,0,0,0,1,0,1,0,25,0,4093120000,1.1033E+11,2.95975E+11,10095500000,502,11548000,31,447,96189,761000,367000,3.03806E+11,17696000000,17696000000,5.674E+12,197000,82000,730999000,912050,2800,5267,7100,140,1.39E-05,0.013829285,117000,0.003743963,37551.55963,49,0.002100917,0.000188586,0.012142857,130.9785575,435
Romania,51,0.8984,18148155,9437041,7731114,199630,81300,55000,15000,Bucharest,Eastern Europe,Europe,NATO,2025,140,21,0,14,44,2,0,65,0,328,10774,0,720,243,20,0,0,0,0,0,3,7,3,5,9700000000,1.32E+11,7.72107E+11,73000000000,82,8282000,11,10628,84185,67000,221000,600000000,9501000000,10055000000,1.0548E+11,18160000,19404000,291000000,238391,225,2844,1731,106,2.69E-05,0.012563026,136300,0.007510405,119311.1931,50,0.001722017,0.001375891,0.088888889,534.4895941,488
Ethiopia,52,0.9305,118550298,56904143,35327989,2726657,162000,0,0,Addis Ababa,East Africa,Africa,Non-NATO,2025,103,25,0,8,34,0,0,33,7,338,7256,35,309,40,0,0,0,0,0,0,0,0,0,0,2097575000,25761000000,3.54604E+11,3131288000,57,61664000,0,659,120171,0,110000,428000,0,0,24919000000,8000,660000,0,1104300,0,5925,0,41,3.72E-06,0.00591526,162000,0.001366509,12947.99383,51,0.000635802,0.000306076,,17.69354473,441
Czechia,53,0.9994,10837890,5093808,4129236,97541,28000,4200,0,Prague,Central Europe,Europe,NATO,2025,99,12,16,10,17,2,0,42,4,43,6340,50,0,16,0,0,0,0,0,0,0,0,0,0,6750000000,2.112E+11,5.19007E+11,1.48379E+11,243,5502000,0,9548,55744,4000,211000,15000000,224725000,7602000000,3964000000,37423000,40239000,3595000000,78867,0,2046,664,32,1.31E-05,0.013005605,32200,0.002971058,241071.4286,52,0.003535714,0.000545222,,622.8149575,142
United Arab Emirates,54,1.0186,10032213,5818684,4945881,80258,65000,130000,12000,Abu Dhabi,Middle East,Asia,Non-NATO,2025,551,99,16,37,147,27,4,247,30,354,8707,165,99,49,181,44188,0,0,0,0,0,11,34,2,2212360382,2.64E+11,7.19733E+11,1.89491E+11,42,6668000,20,0,4080,4146000,939000,97800000000,56683000000,66091000000,6091000000,0,3273000,0,83600,1318,1066,0,135,0.000108251,0.003073863,195000,0.019437386,34036.31357,53,0.008476923,0.00423445,0.137329287,220.5256589,1086
Hungary,55,1.0259,9855745,4632200,3794462,118269,41600,20000,15000,Budapest,Central Europe,Europe,NATO,2025,69,12,0,3,12,0,0,44,8,209,7797,24,295,0,0,0,0,0,0,0,0,0,0,0,4576000000,1.375E+11,3.88906E+11,45719000000,109,5006000,0,7687,203601,36000,175000,12100000,1523000000,9485000000,3738000000,5450000,6180000,2909000000,103000,0,2106,1622,51,2.82E-05,0.011766339,61600,0.006250162,110000,54,0.001658654,0.002029126,,464.2977269,278
Angola,56,1.0961,37202061,7440412,3720206,372021,107000,0,10000,Luanda,Central Africa,Africa,Non-NATO,2025,298,71,12,31,66,2,0,116,15,309,5500,25,575,113,31,0,0,0,0,0,0,0,29,0,1101360000,45774500000,2.65868E+11,13942000000,106,15223000,21,2761,26000,1175000,127000,7783000000,5514000000,1397000000,3.43002E+11,0,0,0,1246700,1600,5369,1300,3,1.71E-05,0.004142507,107000,0.002876185,10293.08411,55,0.002785047,0.000247854,0.019375,29.60481141,638
Kazakhstan,57,1.1016,20260006,9117003,6928922,283640,110000,135000,55000,Astana,Central Asia,Asia,Non-NATO,2025,198,63,25,19,26,0,0,65,12,350,7736,126,194,287,26,0,0,0,0,0,0,0,23,2,2048700000,91321500000,7.0552E+11,35965000000,132,9587000,0,16636,96167,1955000,288000,30000000000,27011000000,22623000000,2.407E+12,118195000,84852000,25605000000,2724900,26,13364,43983,63,2.83E-05,0.002903816,245000,0.01209279,18624.54545,56,0.0018,0.000128445,1,101.1204044,574
Uzbekistan,58,1.1121,36520593,18990708,15959499,730412,48000,0,20000,Tashkent,Central Asia,Asia,Non-NATO,2025,192,58,13,13,7,0,0,101,34,340,2970,147,236,108,0,0,0,0,0,0,0,0,0,0,2803500000,19652500000,3.19174E+11,34558000000,74,14270000,0,4642,86496,64000,91000,594000000,47500000000,43227000000,1.841E+12,5356000,7396000,1375000000,447400,420,6893,1100,139,1.46E-05,0.00878361,48000,0.001314327,58406.25,57,0.004,0.000759946,0,76.76490905,532
Morocco,59,1.1273,37387585,17946041,15254135,635589,195800,150000,50000,Rabat,North Africa,Africa,Non-NATO,2025,260,83,0,31,75,4,2,78,0,903,7877,396,153,129,111,0,0,0,0,0,6,1,105,0,13400000000,45645000000,3.3748E+11,36328000000,49,12284000,12,2067,57300,25,318000,684000,82595000,243201000,1444000000,0,11940000,96000000,715550,1835,2363,0,83,3.41E-05,0.039706057,345800,0.00924906,68437.1808,58,0.001327886,0.001261966,0.060490463,358.4077442,1274
Azerbaijan,60,1.2531,10650239,5218617,3908638,159754,126400,300000,15000,Baku,Unknown,Unknown,Non-NATO,2025,154,12,18,3,35,0,0,86,16,497,7642,198,650,268,38,0,0,0,4,0,0,0,17,4,5000000000,16159500000,2.15896E+11,13749000000,32,5473000,0,2944,24981,618000,105000,7000000000,34175000000,11759000000,1.699E+12,0,60000,0,86600,713,2468,0,8,6.47E-05,0.023159299,426400,0.04003666,39556.96203,59,0.001218354,0.00573903,0.053295933,469.4730325,689
Belgium,61,1.2564,11977634,4910830,3880753,119776,25000,6400,0,Brussels,Western Europe,Europe,NATO,2025,108,43,0,7,38,0,0,20,0,0,4606,0,0,0,9,10190,0,0,0,0,2,0,2,5,10200000000,1.44926E+12,7.51592E+11,40813000000,49,5432000,7,3602,118414,11000,585000,0,13436000,15347000000,0,1270000,4869000,4100000000,30528,67,1297,2043,12,9.77E-06,0.013571193,31400,0.002621553,408000,60,0.00432,0,0.134328358,851.5872166,117
Bulgaria,62,1.2563,6782659,3187850,2611324,61044,37000,3000,0,Sofia,Eastern Europe,Europe,NATO,2025,65,10,5,6,21,0,0,27,4,90,4914,48,24,24,36,0,0,0,0,0,4,3,0,10,1373232000,27138500000,2.14061E+11,46334000000,111,3103000,2,4029,19512,4000,101000,15000000,20837000,2801000000,5663000000,35516000,35970000,2366000000,110880,354,1806,470,20,2.82E-05,0.006415143,40000,0.005897392,37114.37838,61,0.001756757,0.000811688,0.101694915,202.4621907,191
Serbia,63,1.2576,6652212,3259584,2574406,79827,25000,2000,600000,Belgrade,Balkans,Europe,Non-NATO,2025,110,11,17,3,33,0,0,46,4,262,3683,90,150,98,20,0,0,0,0,0,0,0,7,5,2287461000,35200000000,1.62213E+11,27569000000,43,3333000,0,3333,44248,13000,82000,77500000,353376000,2939000000,48139000000,35129000,38297000,7514000000,77474,0,2322,587,110,5.89E-05,0.014101589,27000,0.0040588,91498.44,62,0.0044,0.00338178,inf,343.8647175,392
Syria,64,1.2771,23865423,15273871,13245310,668232,170000,50000,50000,Damascus,Middle East,Asia,Non-NATO,2025,207,104,9,3,15,1,0,77,14,365,11148,90,641,204,27,0,0,0,0,0,0,0,16,4,291850000,4309500000,55935900000,341962500,39,6315000,3,2052,69873,75000,138000,2500000000,3085000000,3084000000,2.40693E+11,0,47000,0,187437,193,2363,900,125,2.51E-05,0.005217579,220000,0.009218357,1716.764706,63,0.001217647,0.001947321,0.139896373,12.22898919,599
Ecuador,65,1.3021,18309984,8422593,6738074,329580,41250,118000,1500,Quito,South America,South America,Non-NATO,2025,102,0,0,20,34,8,0,46,0,54,5204,5,106,24,30,0,0,0,2,0,2,6,5,0,2376000000,44898000000,2.60213E+11,4442000000,310,8893000,6,965,43950,480000,225000,8273000000,309778000,309778000,10902000000,0,21000,24000000,283560,2237,2237,1500,36,1.02E-05,0.009130981,159250,0.008697441,57600,64,0.002472727,0.000190436,0.013410818,129.765269,186
Democratic Republic of the Congo,66,1.3111,115403027,39237029,31389623,2538867,166580,31000,10000,Kinshasa,Central Africa,Africa,Non-NATO,2025,46,1,6,6,1,0,0,32,8,105,916,8,60,25,16,0,0,0,0,0,0,0,16,0,796560000,4994000000,1.54012E+11,3898125000,272,35983000,3,4007,152373,19000,26000,180000000,380000,380000,991090000,0,23000,987999000,2344858,37,10481,15000,33,1.45E-06,0.005172065,197580,0.001712087,4781.84656,65,0.000276144,4.48E-05,0.432432432,6.902418599,167
Cuba,67,1.3286,10966038,5921661,4737328,142558,45500,40000,1145000,Havana,Caribbean,North America,Non-NATO,2025,31,11,0,4,3,0,0,13,4,113,6864,60,130,15,19,0,0,0,0,0,1,1,6,4,4508784000,33066000000,1.414E+11,10442000000,123,5317000,34,8367,60000,34000,165000,124000000,659434000,659434000,70792000000,0,2000,0,110860,3735,29,240,31,1.49E-05,0.031886733,85500,0.0077968,99094.15385,66,0.000681319,0.001019304,0.005087015,411.1588889,163
Austria,68,1.3704,8967982,4035592,3632033,98648,16000,125600,0,Vienna,Central Europe,Europe,Non-NATO,2025,85,15,0,11,18,0,0,41,0,56,7322,30,0,0,0,0,0,0,0,0,0,0,0,0,5475750000,6.3E+11,5.90354E+11,31212000000,61,4825000,0,6123,137039,18000,245000,35200000,618209000,8136000000,5040000000,1271000,5026000,0,83871,0,2524,358,7,1.57E-05,0.009275367,141600,0.015789505,342234.375,67,0.0053125,0.000667692,,610.5888705,141
Sri Lanka,69,1.3941,21982608,10551652,8551235,307757,346000,90000,0,Sri Jayawardenepura Kotte,South Asia,Asia,Non-NATO,2025,85,5,0,14,8,3,0,55,9,44,3190,0,96,28,270,27136,0,0,0,0,5,0,59,0,1265400000,46409500000,2.87132E+11,3450700000,18,8707000,6,1562,114093,0,121000,0,0,0,0,0,2084000,0,65610,1340,0,160,120,1.82E-05,0.004407032,436000,0.019833861,3657.225434,68,0.000245665,0.000670629,0.201492537,57.56368853,399
Belarus,70,1.3954,9501451,5035769,3724569,104516,63000,145000,55000,Minsk,Eastern Europe,Europe,Non-NATO,2025,185,36,50,4,27,0,0,68,29,507,6916,357,215,206,0,0,0,0,0,0,0,0,0,0,1077900000,44000000000,2.54407E+11,8118000000,46,4956000,0,5528,86600,30000,131000,198000000,73929000,16683000000,2832000000,0,778000,0,207600,0,3599,2500,11,7.28E-05,0.004236912,208000,0.021891393,17109.52381,69,0.002936508,0.002442197,,113.4458305,692
Slovakia,71,1.3978,5563649,2837461,2353424,61200,19500,0,0,Bratislava,Central Europe,Europe,NATO,2025,41,2,0,7,9,1,0,22,0,45,3074,35,9,25,0,0,0,0,0,0,0,0,0,0,2656000000,1.276E+11,2.13053E+11,11288000000,114,2823000,0,3627,56926,7000,94000,9000000,52556000,60424000,14158000000,2343000,5794000,19000000,49035,0,1587,172,113,1.55E-05,0.012466382,19500,0.003504894,136205.1282,70,0.002102564,0.000917712,,477.3845367,86
Qatar,72,1.4307,2552088,638022,490001,12760,66550,15000,5500,Doha,Middle East,Asia,Non-NATO,2025,251,102,6,12,51,0,0,80,24,99,5024,46,12,16,115,0,0,0,0,0,0,4,105,0,9432000000,1.87E+11,3.04973E+11,51539000000,8,2035000,6,0,7039,1815000,297000,25244000,1.69595E+11,41515000000,2.3861E+13,0,0,0,11586,563,87,0,104,0.000182204,0.030927328,81550,0.031954227,141728.024,71,0.0037716,0.008544795,0.204262877,3695.797324,465
Sudan,73,1.4756,50467278,26747657,17108407,1312149,92000,85000,17500,Khartoum,North Africa,Africa,Non-NATO,2025,165,37,27,13,15,0,0,64,35,224,2900,100,287,192,6,0,0,0,0,0,0,0,6,0,342000000,37846000000,1.36039E+11,206763700,41,13590000,4,7251,31000,68000,127000,1250000000,0,0,84951000000,0,0,0,1861484,853,6819,4068,121,7.83E-06,0.002513985,177000,0.003507223,3717.391304,72,0.001793478,0.000120334,0.007033998,6.77666824,395
Croatia,74,1.5074,4150116,2033557,1564594,53952,14325,20100,2000,Zagreb,Balkans,Europe,NATO,2025,67,10,0,0,28,0,0,37,0,45,2848,25,42,42,30,0,0,0,0,0,0,0,10,1,1176000000,55000000000,1.59305E+11,3176000000,40,1744000,16,2617,26958,11000,70000,71000000,741456000,2502000000,24919000000,0,702000,0,56594,5835,2237,4714,30,3.42E-05,0.007382066,34425,0.008294949,82094.24084,73,0.004677138,0.000795137,0.005141388,283.3655734,142
Jordan,75,1.6139,11174024,3463947,2983464,145262,100500,65000,35000,Amman,Middle East,Asia,Non-NATO,2025,274,44,6,13,66,13,0,155,44,1458,16624,358,80,56,27,0,0,0,0,0,0,0,27,0,2500000000,25646500000,1.06806E+11,15715600000,17,3063000,1,509,7203,20,97000,1000000,187262000,4382000000,6031000000,0,479000,0,89342,26,1744,0,62,0.000157419,0.023406925,165500,0.014811137,24875.62189,74,0.002726368,0.016319312,1.038461538,223.7331869,1759
Libya,76,1.4449,7361263,3827857,3290485,125141,32000,0,100000,Tripoli,North Africa,Africa,Non-NATO,2025,143,10,1,6,38,0,0,16,4,43,1816,15,28,25,5,0,0,0,0,0,0,1,1,1,3060000000,3322000000,1.21951E+11,92427000000,66,2398000,14,2000,37000,1245000,230000,48363000000,11832000000,9212000000,1.505E+12,0,0,0,1759540,1770,4339,0,72,2.59E-05,0.025092045,32000,0.00434708,95625,75,0.00446875,2.44E-05,0.002824859,415.6895359,191
Turkmenistan,77,1.6512,5744151,2768681,2245963,109139,36500,0,3500,Ashgabat,Central Asia,Asia,Non-NATO,2025,91,24,27,5,9,0,0,26,10,654,5016,73,450,164,16,0,0,0,0,0,0,0,16,0,1078020000,2134500000,94790000000,23415400000,23,2163000,0,5113,58592,272000,152000,600000000,86472000000,41561000000,1.1327E+13,0,0,800000000,488100,1768,4158,1300,132,0.000132483,0.011372719,36500,0.00635429,29534.79452,76,0.002493151,0.001339889,0.009049774,187.672643,761
Albania,78,1.6815,3107100,1522479,1292554,62142,6600,2000,500,Tirana,Balkans,Europe,NATO,2025,19,0,0,0,0,0,0,19,0,46,1796,0,50,135,19,0,0,0,0,0,0,0,19,0,558862420,7312000000,49592000000,6455000000,3,1388000,3,424,3945,1400,2600,150000000,50623000,50623000,5692000000,379000,389000,522000000,28748,362,691,41,1,2.70E-05,0.011269205,8600,0.002767854,84676.12424,77,0.002878788,0.001600111,0.052486188,179.8662483,84
Kuwait,79,1.6982,3138355,1726095,1449920,37660,72000,24000,7500,Kuwait City,Middle East,Asia,Non-NATO,2025,128,43,0,2,13,0,3,67,16,367,5636,74,0,27,123,0,0,0,0,0,0,0,106,0,6950000000,55000000000,2.1906E+11,52619000000,6,2463000,6,0,5749,2910000,372000,1.015E+11,19285000000,26083000000,1.784E+12,0,145000,0,17818,499,475,0,66,0.000196918,0.031726468,96000,0.030589274,96527.77778,78,0.001777778,0.020597149,0.246492986,2214.535959,618
Bolivia,80,1.7221,12311974,5417269,4112199,233928,40000,40000,0,Sucre,South America,South America,Non-NATO,2025,64,0,0,15,19,0,0,33,0,54,890,0,106,0,67,0,0,0,0,0,0,0,50,0,550200000,11431000000,1.19785E+11,1800000000,200,6114000,0,3690,90568,58000,87000,240900000,13760000000,3055000000,3.0299E+11,0,9000,1000000,1098581,0,7252,10000,16,1.50E-05,0.00459323,80000,0.00649774,13755,79,0.0016,4.92E-05,inf,44.68820353,185
Bahrain,81,1.7448,1566888,846120,720768,17236,18400,110000,1500,Manama,Middle East,Asia,Non-NATO,2025,132,24,0,3,40,0,0,80,34,150,2764,38,26,17,64,0,0,0,0,0,2,2,50,0,1597200000,49500000000,85491000000,5118000000,3,855000,4,0,4122,189000,72000,186500000,18005000000,17924000000,81382000000,0,0,0,760,161,0,0,9,0.00022082,0.018682668,128400,0.08194587,86804.34783,80,0.007173913,0.197368421,0.397515528,1019.345352,346
Oman,82,1.8047,3901992,1482757,1291559,50726,42600,100000,10000,Muscat,Middle East,Asia,Non-NATO,2025,128,29,10,9,45,4,0,31,0,150,4084,24,140,0,22,0,0,0,0,0,0,5,12,0,8200000000,50897000000,1.8596E+11,17455000000,36,2316000,7,0,60230,1056000,211000,5375000000,40754000000,27364000000,6.51287E+11,0,31000,0,309500,2092,1561,0,96,7.69E-05,0.044095504,142600,0.036545436,192488.2629,81,0.003004695,0.000484653,0.010516252,2101.490726,300
Kenya,83,1.8135,58246378,21551160,14037377,931942,50000,0,25000,Nairobi,East Africa,Africa,Non-NATO,2025,156,17,0,21,31,2,0,85,2,188,4128,18,53,0,23,0,0,0,0,0,0,0,7,0,1307383850,30514500000,3.14063E+11,7342000000,370,25502000,4,3819,161452,0,119000,0,0,0,0,0,1168000,0,580367,536,3457,0,64,6.30E-06,0.004162808,50000,0.000858422,26147.677,82,0.00312,0.000323933,0.042910448,22.44575362,367
Chad,84,1.8712,19093595,6873694,3856906,381872,33250,0,5000,N'Djamena,Central Africa,Africa,Non-NATO,2025,40,0,7,7,8,2,0,16,3,90,3316,10,10,20,0,0,0,0,0,0,0,0,0,0,381350000,2038000000,32446000000,211591000,42,5806000,0,0,40000,124000,15000,1500000000,0,0,0,0,0,0,1284000,0,6406,12400,26,6.81E-06,0.011753375,33250,0.001741422,11469.17293,83,0.001203008,7.01E-05,,19.97266623,130
Yemen,85,1.8901,32140443,12213368,9031464,610668,66700,0,20000,Sana'a,Middle East,Asia,Non-NATO,2025,84,27,12,2,15,0,0,30,7,0,550,0,15,10,33,0,0,0,0,0,0,1,12,1,810375000,6343500000,67003300000,923361750,36,6883000,10,0,71300,15000,60000,3000000000,189432000,189432000,4.78555E+11,0,165000,0,527968,1906,1601,0,142,3.64E-06,0.012094554,66700,0.002075267,12149.55022,84,0.00125937,0,0.017313746,25.21356037,117
New Zealand,86,1.9039,5161211,2219321,1775457,61935,8670,3250,300,Wellington,Oceania,Oceania,Non-NATO,2025,48,0,0,8,13,6,0,21,0,0,2114,0,31,0,8,0,0,0,0,0,2,0,4,0,3030000000,2.09683E+11,2.5477E+11,15487000000,202,3068000,22,4128,94000,12000,154000,40993000,3770000000,3819000000,31149000000,3036000,2441000,7575000000,268838,15134,0,0,89,1.09E-05,0.01189308,11920,0.002309535,349480.9689,85,0.005536332,0,0.000528611,587.0715226,56
Paraguay,87,1.9044,7522549,3535598,3001497,150451,15650,168500,15000,Asuncion,South America,South America,Non-NATO,2025,39,0,0,11,13,1,0,14,0,0,1108,0,25,0,72,0,0,0,0,0,0,0,63,0,17595000000,14370000000,1.08022E+11,9886000000,83,3469000,1,30,78811,2000,57000,0,0,0,0,0,1000,0,406752,0,4655,3100,99,1.48E-05,0.162883487,184150,0.024479734,1124281.15,86,0.002492013,0,inf,2338.967815,111
Lithuania,88,1.9075,2628186,1708321,1332490,36795,23000,104000,14150,Vilnius,Northern Europe,Europe,NATO,2025,9,0,0,5,0,0,0,4,0,0,1263,21,54,0,14,0,0,0,0,0,0,0,7,4,2388900000,44000000000,1.32712E+11,6168000000,65,1510000,2,1911,84166,4000,68000,12000000,0,1601000000,0,0,263000,0,65300,90,1545,441,73,8.75E-06,0.018000633,127000,0.048322303,103865.2174,87,0.000391304,0,0.155555556,908.9539325,23
Mozambique,89,1.9265,33350954,14674420,7770772,533615,11200,0,3000,Maputo,Southern Africa,Africa,Non-NATO,2025,22,8,0,4,1,1,0,8,2,30,872,0,52,6,33,0,0,0,0,0,0,0,33,0,412400000,12100000000,50631000000,3515000000,92,15191000,11,4787,31083,0,40000,0,5388000000,1347000000,2.832E+12,9015000,11000,1792000000,799380,2470,4783,460,84,2.55E-06,0.008145207,11200,0.000335822,36821.42857,88,0.001964286,3.75E-05,0.013360324,12.36546337,85
